"","game_date_x","game_pk","velocity","spin_rate","release_extension","api_break_z_with_gravity","pitcher_run_exp","woba","xwoba","launch_speed","hardhit_percent","barrels_per_pa_percent","home_team","away_team","home_runs","away_runs","park_factor"
"95","2024-03-31",746166,90.1,2085,6.55,2.06281,1.68,0.269,0.247,82.4,14.2857142857143,0,"Los Angeles Dodgers","St. Louis Cardinals",5,4,97
"96","2024-03-31",746166,90.1,2300,6.56,2.43234,-1.646,0.389,0.415,90.4,50,8.57142857142857,"Los Angeles Dodgers","St. Louis Cardinals",5,4,97
"97","2024-03-31",745845,90.6,2260,7.07,2.18169,-1.639,0.349,0.304,89.2,34.7826086956522,5,"New York Mets","Milwaukee Brewers",1,4,98
"98","2024-03-31",745845,88.3,2188,7,2.35864,3.072,0.23,0.299,90.7,44.4444444444444,0,"New York Mets","Milwaukee Brewers",1,4,98
"99","2024-03-31",745279,89.8,2269,6.3,2.23288,-0.612,0.348,0.399,93.9,62.962962962963,13.1578947368421,"Seattle Mariners","Boston Red Sox",1,5,89
"100","2024-03-31",745279,87,2052,6.99,2.81234,4.256,0.161,0.244,84.7,38.0952380952381,3.03030303030303,"Seattle Mariners","Boston Red Sox",1,5,89
"101","2024-03-31",746332,89.3,2302,6.66,2.18516,-5.7,0.529,0.476,90.9,48.3870967741936,17.0731707317073,"Kansas City Royals","Minnesota Twins",11,0,106
"102","2024-03-31",746332,87.7,2263,6.88,2.50217,3.523,0.22,0.244,88.9,21.0526315789474,2.94117647058824,"Kansas City Royals","Minnesota Twins",11,0,106
"103","2024-03-31",745602,90.7,2086,6.48,2.1747,1.787,0.258,0.224,87.9,42.1052631578947,2.94117647058824,"Philadelphia Phillies","Atlanta Braves",5,4,101
"104","2024-03-31",745602,89.3,2297,6.51,2.5031,-0.975,0.34,0.4,92.4,45.4545454545455,5.71428571428571,"Philadelphia Phillies","Atlanta Braves",5,4,101
"105","2024-03-31",747222,90.4,2427,6.7,2.04757,2.188,0.25,0.246,84.4,34.7826086956522,2.94117647058824,"Arizona Diamondbacks","Colorado Rockies",5,1,104
"106","2024-03-31",747222,91.2,2250,6.47,2.06821,-0.061,0.26,0.319,86.4,36.3636363636364,9.67741935483871,"Arizona Diamondbacks","Colorado Rockies",5,1,104
"107","2024-03-31",747062,92.2,2131,6.23,1.95149,3.068,0.175,0.261,86.9,28.5714285714286,5.71428571428571,"Baltimore Orioles","Los Angeles Angels",1,4,98
"108","2024-03-31",747062,87.8,2360,6.37,2.31212,1.265,0.238,0.327,89.9,43.4782608695652,6.06060606060606,"Baltimore Orioles","Los Angeles Angels",1,4,98
"109","2024-03-31",745683,86.6,2180,6.63,2.72908,-1.513,0.377,0.294,84,16.6666666666667,0,"Oakland Athletics","Cleveland Guardians",4,3,100
"110","2024-03-31",745683,88.2,2302,6.26,2.46516,1.725,0.219,0.246,86.3,31.0344827586207,0,"Oakland Athletics","Cleveland Guardians",4,3,100
"111","2024-04-01",744875,90.3,2150,6.87,2.08478,-3.391,0.42,0.413,88.5,45.1612903225806,12.5,"Washington Nationals","Pittsburgh Pirates",4,8,99
"112","2024-04-01",744875,87.6,2142,6.56,2.36467,0.591,0.289,0.307,88.3,34.6153846153846,5.26315789473684,"Washington Nationals","Pittsburgh Pirates",4,8,99
"113","2024-04-01",745600,89.8,2168,6.65,2.34088,1.425,0.304,0.262,87.2,45,7.14285714285714,"Philadelphia Phillies","Cincinnati Reds",3,6,101
"114","2024-04-01",745600,88.7,2423,6.59,2.11646,2.099,0.238,0.236,86.3,32,0,"Philadelphia Phillies","Cincinnati Reds",3,6,101
"115","2024-04-01",745675,90.4,2413,6.63,2.2232,-0.625,0.298,0.322,90.6,34.6153846153846,6.97674418604651,"Oakland Athletics","Boston Red Sox",0,9,100
"116","2024-04-01",745675,87.7,2207,6.01,2.71398,5.208,0.126,0.122,82.2,22.2222222222222,0,"Oakland Athletics","Boston Red Sox",0,9,100
"117","2024-04-01",745437,86.8,2156,6.5,2.68298,-2.108,0.383,0.35,87.7,34.6153846153846,6.97674418604651,"San Diego Padres","St. Louis Cardinals",2,6,99
"118","2024-04-01",745437,87.6,2130,6.76,2.42385,0.281,0.265,0.365,88.5,44,9.375,"San Diego Padres","St. Louis Cardinals",2,6,99
"119","2024-04-01",746085,91.5,2379,6.49,2.06729,-1.699,0.382,0.417,89.3,50,12.8205128205128,"Miami Marlins","Los Angeles Angels",4,7,113
"120","2024-04-01",746085,89,2258,6.12,2.16348,-0.189,0.301,0.326,91.3,36,5.12820512820513,"Miami Marlins","Los Angeles Angels",4,7,113
